1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.4979,0.30023,56.287,4.6585e-09,4180.6,6.5248e-06,1.7183e+05,0.00012573,3.9055e+07,0.015606,39.818,8.4336e-12,1503.3,7.5412e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.7247,0.30015,1.7144e+05,0.000127,91.326,7.6904e-09,4787.2,7.3148e-06,8.989,3.2918e-11,3.9226e+07,0.015643,32.75,6.5199e-12,1511,8.2261e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.4692,0.30009,51.077,4.5562e-09,914.92,9.841e-07,10355,1.8813e-05,11.266,2.4115e-11,3.9632e+07,0.015783,30.132,6.1027e-12,1300,6.5892e-08,1.7289e+05,0.00014716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.451,0.30021,11923,2.283e-05,1336.3,8.5786e-08,1071.3,1.8351e-06,28.512,5.9398e-12,1.7114e+05,0.00014937,163.81,1.6766e-08,12.175,1.1477e-09,3.9205e+07,0.015678,12.262,2.0154e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.5205,0.3001,1922.8,4.5109e-06,1063,6.2477e-08,1.6362e+05,0.00016878,29.654,6.0926e-12,3.9647e+07,0.015791,76.262,1.0014e-08,11.093,2.1878e-11,591.16,2.6547e-07,8.5404,8.3265e-10,22045,3.8827e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.4115,0.30011,790.28,1.3541e-07,55.451,7.7029e-09,12.883,1.8934e-11,1.5146e+05,0.00018211,27.774,5.8161e-12,3.9564e+07,0.015782,3242.6,9.5191e-06,643.79,1.4992e-06,6.893,6.4492e-10,715.1,4.9717e-08,34190,5.7062e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0808,0.30011,970.88,1.1064e-07,3.9546e+07,0.015771,19.816,1.3192e-11,12.092,1.8055e-09,20.195,4.8403e-12,54.894,1.0344e-08,2.8143,1.5846e-10,491.9,4.3594e-08,1.5417e+05,0.00017681,2962.6,8.5841e-06,596.72,1.2445e-06,30414,5.2911e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.4208,0.30003,100.71,3.5422e-08,1070.5,1.0553e-07,161.85,3.6629e-08,5.3644,4.968e-10,27.714,5.8271e-12,1.4223e+05,0.00019409,3787.5,1.0387e-05,12.833,1.8719e-11,36.312,5.4185e-09,154.82,3.646e-08,44159,6.6157e-05,3.9896e+07,0.015868,687.8,1.3543e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0539,0.29922,16.673,4.4793e-12,4.2801e+07,0.017858,7.4713,8.6073e-12,1.4422e+05,0.00017919,8124,2.4692e-05,16.001,1.3975e-11,3.3957,2.0145e-10,1592.8,4.2618e-06,442.02,4.1348e-07,32380,7.3333e-05,154.62,1.9848e-08,1158.8,7.6369e-08,1.6562e+06,0.0077314,19.508,2.7911e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
