1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.8615,0.010416,13741,4.7153e-05,2.7963,8.958e-12,8.2924e+06,0.0061931,31.933,2.8478e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.7884,0.010288,28366,0.000103,19.214,1.4835e-08,2.7428,8.7083e-12,9.178e+06,0.0070912,210.81,2.183e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.7307,0.010191,19.6,1.6762e-08,0.85205,4.1914e-11,217.02,2.2715e-06,9.1909e+06,0.0071123,2.0566,5.5817e-12,28585,0.00010399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.7138,0.010128,16.247,1.3546e-08,0.86321,3.8949e-11,9.5375e+06,0.0074379,36168,0.0001412,51.862,6.2178e-07,2.0235,5.488e-12,714.21,9.6247e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6701,0.010117,714.73,1.0112e-05,1.7767,4.8065e-12,15.803,2.296e-08,2.862,3.3665e-09,58.272,7.9693e-07,35465,0.00013935,9.4248e+06,0.0073684,1.0342,2.6231e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6713,0.010111,1.0566,2.6444e-11,38500,0.00019999,14.36,2.6747e-08,43.863,6.6319e-07,9.5735e+06,0.0075391,4.4525,4.8067e-09,4957.8,5.2333e-05,1.7664,4.7645e-12,333.7,5.9501e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.7098,0.010007,2.0339,5.5623e-12,9.9556e+05,0.023835,20.747,2.3017e-07,151.76,2.6844e-06,0.841,3.8874e-11,14.203,1.1835e-08,906.52,1.8049e-05,31819,0.00041571,22050,0.00011468,9.3215e+06,0.0075608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.8009,0.010102,2.0944,8.4218e-12,0.50376,7.8331e-11,96.052,2.1225e-06,9.9109,9.2579e-09,32190,0.00039781,9.668e+06,0.0076646,673.3,1.2669e-05,19.336,4.0936e-07,21081,0.00010814,1.1902,4.0244e-13,9.1948,4.5667e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6987,0.010039,252.21,2.014e-05,8080.4,7.0845e-05,11.602,6.6272e-08,154.61,7.6502e-06,37557,0.00022912,57.458,9.8494e-07,9.1149e+06,0.0074369,182.76,6.5076e-06,10.656,9.274e-09,0.87931,3.5556e-11,9.7957e+05,0.018954,1.9804,5.3696e-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6588,0.0099705,13.981,1.3955e-08,14936,0.00025609,1.1981,2.0252e-11,53504,0.0018665,10149,8.0909e-05,556.92,1.0789e-05,0.69621,7.8419e-10,1.5637,4.2863e-12,9.098e+06,0.0075837,17230,0.00020391,1.072e+06,0.018597,85.877,1.5982e-06,14.056,1.7133e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6824,0.0099508,36900,0.00018296,1.9032,5.1715e-12,1.8882e+06,0.0051505,4.2338,4.8603e-09,0.92342,3.0866e-11,1.3722e+06,0.00711,323.55,7.9077e-06,6.5186,1.7285e-07,0.0064164,0.1,7.012e+06,0.009588,12.667,2.3022e-08,68.379,2.0864e-06,21.451,5.9645e-07,3753,4.751e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.7136,0.0099705,2.0933,5.7354e-12,13335,0.0001392,595.11,1.1956e-05,0.7884,4.2958e-11,7448.7,0.00034219,13.778,1.1706e-08,5.4692e+05,0.0046493,4.4031e+05,0.0039281,15386,0.00028084,7868.7,8.2443e-05,64.654,2.7313e-06,44.051,1.2778e-06,15.167,1.6783e-07,0.10185,0.099997,9.2881e+06,0.0087684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6714,0.009774,5564.3,6.685e-05,24382,0.00018162,10144,0.00021907,351.69,8.3861e-06,6.5609e+06,0.012294,1.7544,4.7232e-12,4.8665,5.2405e-09,4.9277,2.3599e-08,73.502,1.7616e-06,1.4776e+06,0.0054863,2.2165e+06,0.0062536,7.9672,2.7286e-08,367.49,2.4385e-05,1.0727,2.6283e-11,17.915,3.3997e-07,8.6197e+05,0.0056243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6568,0.0098617,4410.9,0.00040475,56.412,7.7828e-07,582.2,9.0356e-06,1.1856,2.2462e-11,9379.6,0.00057982,12067,0.0088675,5.6726e+06,0.0065937,18267,0.00021442,1.6171,4.3821e-12,2.5339,2.9266e-09,1.193e+06,0.0098551,2.1263e+06,0.016706,16.096,2.2251e-08,3644.4,0.0004692,1.4294e+06,0.0095132,2.7957e+05,0.0096308,14746,9.472e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.7464,0.010174,156.3,1.0675e-05,27976,0.00025543,1.4119e+05,0.012994,0.18564,0.081931,9.0972e+06,0.0074846,8.8595,3.7398e-08,13642,0.0026604,8778.7,7.2633e-05,2.3415,6.9715e-12,210.84,1.0313e-05,2.6129e+05,0.013461,1.8294e+05,0.014214,9.4045,9.3915e-09,10022,0.00020404,91.377,2.1983e-06,117.13,1.1278e-05,21.865,4.0114e-07,0.5593,8.8637e-11,1,1,1,1,1,1,1,1,1,1,1,1
2.6408,0.0099001,7.106e+06,0.0068582,2061.4,0.0001798,4890.9,5.7567e-05,1.416,1.4808e-11,10352,0.00016388,23136,0.010837,159.13,4.632e-06,13081,0.0013611,217.33,1.1887e-05,3.4153,4.9149e-09,24097,0.00021147,31953,0.01119,140.34,1.5279e-05,43.632,1.1454e-06,3.3557e+06,0.013797,13.447,2.1473e-08,13.01,2.5553e-07,1.2546,3.5938e-12,0.31121,1.5938e-10,1,1,1,1,1,1,1,1,1,1
2.6676,0.0095875,7.3271,1.8239e-07,5.5749e+06,0.011965,5.0539e+06,0.0061313,12397,0.00014295,88.853,2.0797e-06,1.736,4.6998e-12,15.262,4.9275e-07,20897,0.00023825,825.56,0.00023493,6.3232e+05,0.099998,2.9474e+06,0.099998,170.55,1.861e-05,5.7729,1.5451e-08,3060.6,0.00040425,1.0702,2.5116e-11,5824.5,7.002e-05,200.71,1.3632e-05,8.5273,2.2491e-08,239.06,8.9419e-06,2.2717,2.9206e-09,1,1,1,1,1,1,1,1
