1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.188,0.023927,38.733,9.449e-12,8267.4,7.0111e-07,952.86,5.0428e-08,61415,2.3279e-05,1.5046e+07,0.0083109,62.458,1.7571e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.1291,0.022644,1.1395e+05,0.00023276,6244,4.2399e-07,42.312,1.0804e-09,541.18,2.8587e-08,38098,1.1785e-05,1.8193e+07,0.0099986,37.964,9.1821e-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0383,0.022297,36.625,8.7726e-12,154.83,7.6821e-09,1.4266e+05,0.00033548,1625.9,1.0767e-07,7251.5,8.3154e-07,1.9334e+07,0.010649,17.535,3.6425e-10,43253,1.5919e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.9287,0.021893,3929.8,2.9683e-07,8907.3,2.3385e-06,2.0483e+07,0.011133,1.7663e+05,0.00049756,479.12,3.281e-08,34.984,8.3066e-12,9.9654,1.2937e-10,47139,2.3437e-05,65.254,2.7623e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.5348,0.021535,30.162,7.015e-12,913.11,7.1804e-08,47737,3.2956e-05,22.893,7.9276e-10,5187.4,4.7337e-07,2.1208e+05,0.00064587,2.1409e+07,0.011525,13805,4.9369e-06,133.73,8.2285e-09,10.289,3.4767e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.4403,0.021334,44950,6.7432e-05,2.2386e+07,0.012185,2.8852e+05,0.00092303,475.97,4.2813e-08,26643,1.1461e-05,10.918,2.9732e-11,2905.9,2.5254e-07,18.763,6.4652e-10,5790.8,1.2218e-06,29.128,6.8582e-12,97.606,6.054e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.5762,0.02131,5804.8,1.1515e-06,29.532,9.8565e-12,430.59,3.8175e-08,6.6932,2.9616e-12,87.313,5.7962e-09,2.2447e+07,0.012193,45247,6.5717e-05,26338,1.1208e-05,2.8333e+05,0.0009112,18.828,7.7426e-10,6.0019,7.0276e-11,2754.6,2.3477e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.2682,0.020633,39924,3.3749e-05,7.2253e+05,0.002444,357.86,3.5631e-08,15758,7.029e-06,2045.2,1.8999e-07,2.4993e+07,0.013994,25.046,6.2472e-12,86216,0.00033138,7.1177,2.33e-10,23.723,1.403e-09,5257.4,8.1076e-07,13.684,2.018e-11,84.961,7.0539e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.6414,0.020751,36816,3.3714e-05,3486.9,4.6672e-07,16.715,7.2961e-10,8.3698,3.3698e-12,5.582,8.0337e-11,283.53,2.6824e-08,4017.1,1.6049e-06,1261.1,1.3567e-07,5.6062e+05,0.0019798,70236,0.00027475,67.962,4.7178e-09,16042,8.3507e-06,28.34,1.0497e-11,2.4549e+07,0.013561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
