frequency,permittivity,conductivity
10,40705781.57377704,0.027518955116950825
12.589254117941673,38468782.918241374,0.031254965733631665
15.848931924611136,35388597.63704089,0.03639927089784622
19.952623149688797,31407256.610880174,0.04304881986999236
25.118864315095802,26661475.706696544,0.05097554102559108
31.62277660168379,21521362.605255727,0.05956175439307927
39.810717055349734,16500938.682198752,0.0679496695303657
50.11872336272724,12068863.865730012,0.07535757904254597
63.095734448019336,8492033.168453805,0.08134122634477264
79.43282347242815,5808673.953972805,0.08583901916166245
100,3903732.307045755,0.08904657370373019
125.89254117941672,2603589.3154533873,0.09125917346276388
158.48931924611136,1739588.7727175402,0.09276653754173446
199.526231496888,1175093.0358923872,0.09380868012211058
251.188643150958,809677.8611828517,0.09456989440442602
316.2277660168379,573601.7949497248,0.09518831021579616
398.1071705534973,420071.3596135594,0.09576739510906536
501.18723362727235,318429.4849057883,0.09638318385580212
630.9573444801933,249062.50501091842,0.09708672631199203
794.3282347242816,199814.3994866268,0.09790660854982143
1000,163398.33846377427,0.09885819263870681
1258.9254117941673,135443.9990116769,0.09995854568020636
1584.8931924611136,113144.56993699232,0.1012336723651316
1995.2623149688798,94568.23552509803,0.10270481464497366
2511.8864315095802,78484.94204974471,0.1043594353334635
3162.277660168379,64348.51057451292,0.10613382841223883
3981.0717055349733,52124.692439505,0.10793337412197954
5011.872336272724,41938.55262438709,0.10968355328207335
6309.573444801933,33762.675935028354,0.11137111941839657
7943.282347242815,27329.999442227843,0.11304250490831978
10000,22241.01327926114,0.11476331041720882
12589.254117941673,18121.8397543425,0.11656774105688769
15848.931924611135,14723.231414400912,0.11843148403419926
19952.623149688796,11924.416618348461,0.12028977227691737
25118.8643150958,9669.53322373801,0.12208988907885548
31622.776601683792,7899.934051094853,0.12383615088202365
39810.717055349734,6528.029668704884,0.12559291489192131
50118.723362727236,5451.097982534004,0.12744668406109752
63095.734448019335,4578.408326992393,0.12945294880389285
79432.82347242816,3849.920924239736,0.13160055509886917
100000,3237.6190070928706,0.13382194732433642
125892.54117941673,2732.0068652850277,0.13604950485180067
158489.31924611135,2325.3170628322296,0.13827672988487782
199526.23149688798,2002.8028867376056,0.14057587101413085
251188.643150958,1744.2095085134567,0.14306050129965042
316227.7660168379,1530.0747993676027,0.14581906375651588
398107.17055349733,1347.086640045294,0.14886228406379548
501187.23362727236,1189.4324334085907,0.15212790690223937
630957.3444801933,1056.023871591698,0.15555510740917752
794328.2347242816,946.1717980516071,0.15918191365945014
1000000,856.9215002225399,0.16319454856669408
1258925.4117941672,783.1385729394487,0.16789855661263894
1584893.1924611137,719.2088443307232,0.1736344239804691
1995262.3149688798,660.8035936703832,0.18068855571483508
2511886.43150958,605.7302756930001,0.18926681612890417
3162277.660168379,553.5152898174484,0.19957825422290737
3981071.705534973,504.1513003710249,0.21197721335202596
5011872.336272724,457.08598096486253,0.22700782241984768
6309573.444801933,411.22301499616947,0.2452352755226882
7943282.347242815,365.7031330384211,0.2669254923122604
10000000,320.63472228372433,0.29177999604785
12589254.117941672,277.1832378857652,0.3189167590219561
15848931.924611136,237.04568583854126,0.3471435657064914
19952623.1496888,201.7022260280439,0.3754154296890338
25118864.3150958,171.8500940730114,0.4032190490801653
31622776.60168379,147.29853700090595,0.43057892750734367
39810717.05534973,127.31993849368276,0.4576521283401155
50118723.36272724,111.1300881836019,0.48430388754291187
63095734.44801933,98.14132885471687,0.5101268361450589
79432823.47242816,87.91479288156899,0.5349146799340911
100000000,80.0084230719729,0.5591069287153411
125892541.17941673,73.91959328179688,0.5837610039292864
158489319.24611136,69.14822612663184,0.610056340347718
199526231.49688798,65.29510731896931,0.6386924535968674
251188643.150958,62.11525316125705,0.6696580296194768
316227766.0168379,59.496146338594066,0.7026950185395467
398107170.5534973,57.385025080287896,0.738295963052005
501187233.62727237,55.72127774618322,0.7786417784585078
630957344.4801934,54.411509417308,0.8280425107112037
794328234.7242815,53.34182825088302,0.8929330783033668
1000000000,52.403003621951925,0.9817228027397517
1258925411.7941673,51.511935561485615,1.1048819325024588
1584893192.4611137,50.62191062580744,1.2759705242263375
1995262314.9688797,49.71596239989848,1.5146555813486409
2511886431.50958,48.78282324157353,1.8522432564208748
3162277660.1683793,47.78716729384281,2.338738255056725
3981071705.534973,46.65092369732648,3.049167794356545
5011872336.272724,45.2535185313694,4.086199840973632
6309573444.801933,43.45044817873623,5.5745823196797435
7943282347.242816,41.110440147564994,7.641462118997698
10000000000,38.16943843978158,10.381029854304646
12589254117.941673,34.68100517185583,13.81737857686749
15848931924.611135,30.821394994138345,17.89401338040761
19952623149.688797,26.82764607754666,22.50029332524298
25118864315.095802,22.913652373932884,27.496091496065247
31622776601.683792,19.23627961345467,32.690372342234596
39810717055.34973,15.917996791847324,37.80398847891536
50118723362.72724,13.065771868973588,42.498871181219265
63095734448.01933,10.751043047020255,46.48700256492055
79432823472.42816,8.980535986151677,49.63046202857043
100000000000,7.696351423886448,51.954769086280066
